Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\MAINFRIC.csv;
Starttime of export;134225416292140000;onsdag 6. mai 2026;13:47:09.214
Endtime of export;134225416573394775;onsdag 6. mai 2026;13:47:37.339


Name;fMain_Spool;Name;fU;Name;fMain_Position_mm;Name;fMain_Pa_bar;Name;fMain_Pa_Cyl_bar;Name;fMain_Pb_bar;Name;fPs_bar
2090;-0.0010681478316598714;2090;0;2090;348.103943;2090;0.0122074038;2090;53.5905037;2090;0.170903653;2090;152.409439
2100;-0.001129184850611864;2100;0;2100;348.103943;2100;0.0122074038;2100;53.60271;2100;0.183111057;2100;152.433853
2110;-0.0010071108127078787;2110;0;2110;348.142426;2110;0;2110;53.6271248;2110;0.219733268;2110;152.372818
2120;-0.00088503677480389342;2120;0;2120;348.103943;2120;0;2120;53.5905037;2120;0.207525864;2120;152.311783
2130;-0.00082399975585190077;2130;0;2130;348.142426;2130;0;2130;53.6271248;2130;0.219733268;2130;152.44606
2140;-0.0010681478316598714;2140;0;2140;348.142426;2140;0;2140;53.6271248;2140;0.231940672;2140;152.494888
2150;-0.0010071108127078787;2150;0;2150;348.103943;2150;0;2150;53.5294647;2150;0.219733268;2150;152.360611
2160;-0.0010071108127078787;2160;0;2160;348.06546;2160;0;2160;53.4562225;2160;0.183111057;2160;152.3484
2170;-0.00088503677480389342;2170;0;2170;348.06546;2170;0;2170;53.5294647;2170;0.207525864;2170;152.44606
2180;-0.0010681478316598714;2180;0;2180;348.103943;2180;0.0122074038;2180;53.5294647;2180;0.207525864;2180;152.421646
2190;-0.0010071108127078787;2190;0;2190;348.103943;2190;0.0244148076;2190;53.5782967;2190;0.183111057;2190;152.397232
