Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\JibHard2.csv;
Starttime of export;134226361040610000;torsdag 7. mai 2026;16:01:44.061
Endtime of export;134226362083010000;torsdag 7. mai 2026;16:03:28.301


Name;fXRef_mm;Name;fXReal_mm;Name;fError_mm;Name;fXDotRef;Name;fU_FF;Name;fU_PID;Name;fPs_bar;Name;fJib_Pa_bar;Name;fJib_Pb_bar;Name;fJib_Pa_Cyl_bar;Name;fJib_Pb_Cyl_bar
1260;0;1260;299.444733;1260;0;1260;0;1260;0;1260;0;1260;0.40284434;1260;61.0736427;1260;49.74517;1260;64.34522;1260;78.8598251
1270;0;1270;299.405884;1270;0;1270;0;1270;0;1270;0;1270;0.354014724;1270;61.1102638;1270;49.74517;1270;64.44289;1270;78.79879
1280;0;1280;299.405884;1280;0;1280;0;1280;0;1280;0;1280;0.3173925;1280;61.0370178;1280;49.6230965;1280;64.35743;1280;78.88425
1290;0;1290;299.405884;1290;0;1290;0;1290;0;1290;0;1290;0.329599917;1290;61.1102638;1290;49.57427;1290;64.25977;1290;78.823204
1300;0;1300;299.444733;1300;0;1300;0;1300;0;1300;0;1300;0.3418073;1300;61.2811661;1300;49.6719246;1300;64.2109451;1300;78.78658
1310;0;1310;299.405884;1310;0;1310;0;1310;0;1310;0;1310;0.3418073;1310;61.1468849;1310;49.6597176;1310;64.18653;1310;78.8598251
1320;0;1320;299.405884;1320;0;1320;0;1320;0;1320;0;1320;0.329599917;1320;61.0126038;1320;49.6597176;1320;64.19874;1320;78.83541
1330;0;1330;299.483582;1330;0;1330;0;1330;0;1330;0;1330;0.3418073;1330;61.0370178;1330;49.6963425;1330;64.25977;1330;78.78658
1340;0;1340;299.483582;1340;0;1340;0;1340;0;1340;0;1340;0.378429532;1340;61.1713;1340;49.74517;1340;64.25977;1340;78.71334
1350;0;1350;299.483582;1350;0;1350;0;1350;0;1350;0;1350;0.3418073;1350;61.1590919;1350;49.7329636;1350;64.27198;1350;78.811
1360;0;1360;299.444733;1360;0;1360;0;1360;0;1360;0;1360;0.354014724;1360;61.06143;1360;49.74517;1360;64.25977;1360;78.933075
1370;0;1370;299.405884;1370;0;1370;0;1370;0;1370;0;1370;0.354014724;1370;61.06143;1370;49.7207565;1370;64.2109451;1370;78.8598251
1380;0;1380;299.444733;1380;0;1380;0;1380;0;1380;0;1380;0.329599917;1380;61.0003967;1380;49.5986824;1380;64.28419;1380;78.823204
1390;0;1390;299.444733;1390;0;1390;0;1390;0;1390;0;1390;0.354014724;1390;61.02481;1390;49.74517;1390;64.3086;1390;78.823204
1400;0;1400;299.405884;1400;0;1400;0;1400;0;1400;0;1400;0.415051728;1400;61.0126038;1400;49.8550377;1400;64.36964;1400;78.72555
1410;0;1410;299.405884;1410;0;1410;0;1410;0;1410;0;1410;0.354014724;1410;61.06143;1410;49.7695847;1410;64.36964;1410;78.78658
1420;0;1420;299.444733;1420;0;1420;0;1420;0;1420;0;1420;0.329599917;1420;61.1590919;1420;49.7207565;1420;64.2963943;1420;78.92087
1430;0;1430;299.444733;1430;0;1430;0;1430;0;1430;0;1430;0.40284434;1430;61.0980568;1430;49.6597176;1430;64.35743;1430;78.823204
1440;0;1440;299.405884;1440;0;1440;0;1440;0;1440;0;1440;0.415051728;1440;61.1102638;1440;49.6963425;1440;64.32081;1440;78.811
1450;0;1450;299.405884;1450;0;1450;0;1450;0;1450;0;1450;0.2929777;1450;61.232338;1450;49.7695847;1450;64.4062653;1450;78.9819
1460;0;1460;299.444733;1460;0;1460;0;1460;0;1460;0;1460;0.3051851;1460;61.1590919;1460;49.8306236;1460;64.39406;1460;79.00632
1470;0;1470;299.483582;1470;0;1470;0;1470;0;1470;0;1470;0.40284434;1470;61.0736427;1470;49.794;1470;64.2963943;1470;78.95749
