Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\JIBFRIC.csv;
Starttime of export;134225418299840000;onsdag 6. mai 2026;13:50:29.984
Endtime of export;134225418629540000;onsdag 6. mai 2026;13:51:02.954


Name;fJib_Pa_bar;Name;fJib_Pb_bar;Name;fJib_Pa_Cyl_bar;Name;fJib_Pb_Cyl_bar;Name;fJib_Position_mm;Name;fPs_bar;Name;fU;Name;fJib_Spool
520;5.54216146;520;93.42326;520;62.6117744;520;89.62676;520;350.4136;520;153.227325;520;-0.20905589383756551;520;-0.2040772728659932
530;5.529954;530;93.37443;530;62.53853;530;89.62676;530;350.294983;530;153.251755;530;-0.20709332531654961;530;-0.20358897671437726
540;5.38346529;540;93.22794;540;62.4774933;540;89.56572;540;350.2159;540;153.3372;540;-0.20580584504813565;540;-0.20181890316476947
550;5.31022072;550;93.13029;550;62.4774933;550;89.45586;550;350.1764;550;153.202911;550;-0.20536353013762706;550;-0.20175786614581748
560;5.2858057;560;92.97159;560;62.3432121;560;89.21171;560;350.136841;560;153.251755;560;-0.2048116731132571;560;-0.20151371807000951
570;5.139317;570;92.86172;570;62.25776;570;89.17509;570;350.097321;570;153.3372;570;-0.20425224964692618;570;-0.20108645893734547
580;5.12710953;580;92.73965;580;62.2699661;580;89.08963;580;349.939178;580;153.447067;580;-0.20141272463506318;580;-0.19962157048249765
590;5.09048748;590;92.73965;590;62.221138;590;88.93094;590;350.01825;590;153.483688;590;-0.20314297134385961;590;-0.19852290414136178
600;5.053865;600;92.58095;600;62.1845131;600;88.9431458;600;349.939178;600;153.520309;600;-0.2017946208633378;600;-0.19858394116031378
610;5.07828;610;92.60536;610;62.1845131;610;88.82107;610;349.939178;610;153.630173;610;-0.20197768923955861;610;-0.19724112674336974
620;5.017243;620;92.44667;620;62.0990639;620;88.57692;620;349.899628;620;153.64238;620;-0.20136427859283723;620;-0.19656971953489782
630;4.82192469;630;92.3123856;630;61.9647827;630;88.41823;630;349.899628;630;153.691208;630;-0.20148476664945708;630;-0.19522690511795399
640;4.67543554;640;92.1659;640;61.8549156;640;88.3571854;640;349.781036;640;153.569138;640;-0.19939779711269645;640;-0.19528794213690598
