Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\SinusTests\JibFricRetake.csv;
Starttime of export;134227056435130000;fredag 8. mai 2026;11:20:43.513
Endtime of export;134227057266530000;fredag 8. mai 2026;11:22:06.653


Name;fXRef_mm;Name;fXReal_mm;Name;fError_mm;Name;fXDotRef;Name;fU_FF;Name;fU_PID;Name;fPs_bar;Name;fJib_Pa_bar;Name;fJib_Pb_bar;Name;fJib_Pa_Cyl_bar;Name;fJib_Pb_Cyl_bar
1080;399.211456;1080;399.881378;1080;-0.7857747;1080;-0.003937458642292932;1080;0;1080;0;1080;152.226318;1080;55.4582367;1080;55.48265;1080;56.89871;1080;70.351265
1090;399.211456;1090;399.919983;1090;-0.7857747;1090;-0.003937458642292932;1090;0;1090;0;1090;152.116455;1090;55.3971977;1090;55.5070648;1090;57.0207825;1090;70.43672
1100;399.211456;1100;399.919983;1100;-0.7857747;1100;-0.003937458642292932;1100;0;1100;0;1100;152.140869;1100;55.2262955;1100;55.4704437;1100;56.98416;1100;70.47334
1110;399.211456;1110;399.881378;1110;-0.7857747;1110;-0.003937458642292932;1110;0;1110;0;1110;152.1897;1110;55.3239555;1110;55.4094048;1110;56.9109154;1110;70.38789
1120;399.211456;1120;399.958618;1120;-0.7857747;1120;-0.003937458642292932;1120;0;1120;0;1120;152.226318;1120;55.3971977;1120;55.4948578;1120;56.9597473;1120;70.37569
1130;399.211456;1130;399.958618;1130;-0.7857747;1130;-0.003937458642292932;1130;0;1130;0;1130;152.238525;1130;55.28733;1130;55.5070648;1130;57.08182;1130;70.4001
1140;399.211456;1140;399.919983;1140;-0.7857747;1140;-0.003937458642292932;1140;0;1140;0;1140;152.226318;1140;55.3239555;1140;55.4582367;1140;57.0207825;1140;70.4001
1150;399.211456;1150;399.919983;1150;-0.7857747;1150;-0.003937458642292932;1150;0;1150;0;1150;152.214111;1150;55.3971977;1150;55.44603;1150;57.0085754;1150;70.4001
1160;399.211456;1160;399.919983;1160;-0.7857747;1160;-0.003937458642292932;1160;0;1160;0;1160;152.1897;1160;55.34837;1160;55.3971977;1160;56.99637;1160;70.29023
1170;399.211456;1170;399.919983;1170;-0.7857747;1170;-0.003937458642292932;1170;0;1170;0;1170;152.250748;1170;55.3605766;1170;55.4094048;1170;56.9109154;1170;70.20478
1180;399.211456;1180;399.919983;1180;-0.7857747;1180;-0.003937458642292932;1180;0;1180;0;1180;152.17749;1180;55.4948578;1180;55.48265;1180;56.89871;1180;70.2658157
1190;399.211456;1190;399.919983;1190;-0.7857747;1190;-0.003937458642292932;1190;0;1190;0;1190;152.153076;1190;55.48265;1190;55.48265;1190;56.9231224;1190;70.32685
1200;399.211456;1200;399.919983;1200;-0.7857747;1200;-0.003937458642292932;1200;0;1200;0;1200;152.238525;1200;55.42161;1200;55.4582367;1200;57.0085754;1200;70.32685
1210;399.211456;1210;399.919983;1210;-0.7857747;1210;-0.003937458642292932;1210;0;1210;0;1210;152.116455;1210;55.3361626;1210;55.3971977;1210;57.0207825;1210;70.38789
1220;399.211456;1220;399.919983;1220;-0.7857747;1220;-0.003937458642292932;1220;0;1220;0;1220;152.067627;1220;55.2629166;1220;55.42161;1220;56.8742943;1220;70.351265
1230;399.211456;1230;399.919983;1230;-0.7857747;1230;-0.003937458642292932;1230;0;1230;0;1230;152.165283;1230;55.3361626;1230;55.4704437;1230;56.8376732;1230;70.3146439
1240;399.211456;1240;399.919983;1240;-0.7857747;1240;-0.003937458642292932;1240;0;1240;0;1240;152.238525;1240;55.5070648;1240;55.44603;1240;56.9109154;1240;70.38789
1250;399.211456;1250;399.881378;1250;-0.7857747;1250;-0.003937458642292932;1250;0;1250;0;1250;152.262955;1250;55.44603;1250;55.5436859;1250;56.9231224;1250;70.41231
1260;399.211456;1260;399.842743;1260;-0.7857747;1260;-0.003937458642292932;1260;0;1260;0;1260;152.214111;1260;55.3605766;1260;55.51927;1260;56.89871;1260;70.43672
1270;399.211456;1270;399.881378;1270;-0.7857747;1270;-0.003937458642292932;1270;0;1270;0;1270;152.17749;1270;55.43382;1270;55.5436859;1270;56.93533;1270;70.41231
1280;399.211456;1280;399.881378;1280;-0.7857747;1280;-0.003937458642292932;1280;0;1280;0;1280;152.165283;1280;55.42161;1280;55.5436859;1280;56.93533;1280;70.30244
1290;399.211456;1290;399.881378;1290;-0.7857747;1290;-0.003937458642292932;1290;0;1290;0;1290;152.116455;1290;55.34837;1290;55.51927;1290;56.8742943;1290;70.29023
1300;399.211456;1300;399.919983;1300;-0.7857747;1300;-0.003937458642292932;1300;0;1300;0;1300;152.140869;1300;55.3971977;1300;55.6169319;1300;56.8254662;1300;70.38789
1310;399.211456;1310;399.919983;1310;-0.7857747;1310;-0.003937458642292932;1310;0;1310;0;1310;152.250748;1310;55.48265;1310;55.5558929;1310;56.8254662;1310;70.351265
1320;399.211456;1320;399.919983;1320;-0.7857747;1320;-0.003937458642292932;1320;0;1320;0;1320;152.299576;1320;55.44603;1320;55.4948578;1320;56.9597473;1320;70.351265
1330;399.211456;1330;399.881378;1330;-0.7857747;1330;-0.003937458642292932;1330;0;1330;0;1330;152.262955;1330;55.4094048;1330;55.58031;1330;57.03299;1330;70.351265
1340;399.211456;1340;399.881378;1340;-0.7857747;1340;-0.003937458642292932;1340;0;1340;0;1340;152.226318;1340;55.3361626;1340;55.653553;1340;57.03299;1340;70.25361
1350;399.211456;1350;399.881378;1350;-0.7857747;1350;-0.003937458642292932;1350;0;1350;0;1350;152.128662;1350;55.3361626;1350;55.5925179;1350;56.9231224;1350;70.32685
1360;399.211456;1360;399.881378;1360;-0.7857747;1360;-0.003937458642292932;1360;0;1360;0;1360;152.043213;1360;55.3971977;1360;55.4948578;1360;56.89871;1360;70.351265
1370;399.211456;1370;399.842743;1370;-0.7857747;1370;-0.003937458642292932;1370;0;1370;0;1370;152.116455;1370;55.43382;1370;55.48265;1370;57.09403;1370;70.30244
1380;399.211456;1380;399.842743;1380;-0.7857747;1380;-0.003937458642292932;1380;0;1380;0;1380;152.1897;1380;55.43382;1380;55.44603;1380;57.09403;1380;70.36347
1390;399.211456;1390;399.881378;1390;-0.7857747;1390;-0.003937458642292932;1390;0;1390;0;1390;152.140869;1390;55.4582367;1390;55.4094048;1390;56.8620872;1390;70.3146439
1400;399.211456;1400;399.919983;1400;-0.7857747;1400;-0.003937458642292932;1400;0;1400;0;1400;152.153076;1400;55.4094048;1400;55.48265;1400;56.8620872;1400;70.30244
